id,support_democrat,cong_district_region,occupation_code,gender_female,age,party,census_urbanpcnt,census_suburbanpcnt,census_ruralpcnt,census_collegepcnt,census_unemprate,census_medianincome,density_sq_km,on_email_list,avg_dem_performance,pet_owner,golf,hunting,random,likes_cheese,protestant,catholic,jewish,afam,latino,id_d,id_r,score_demo
117,1,3,2,1,71,1,0.47332186,0,0.52667814,0.15667465,0.02891791,58487,216.66945,0,55.8,0,0,0,9,0,0,0,0,0,0,0,0,0.44825307
118,,2,5,0,81,1,0.79988432,0,0.20011568,0.27426159,0.02470356,75000,53.070816,0,44,0,0,1,1,0,0,0,0,0,0,1,0,0.38432613
119,1,3,2,0,64,1,1,0,0,0.13390501,0.04215976,63060,2861.7634,1,62.1,0,0,0,6,0,0,0,0,0,0,0,0,0.47105163
120,0,2,9,1,55,2,0.08209273,0.65929389,0.25861335,0.17849223,0.06482364,56516,39.772984,0,35.2,1,0,1,5,0,1,0,0,0,0,0,0,0.37828052
121,1,2,8,1,49,1,0,0.07540466,0.92459536,0.14004376,0.05115962,45441,7.4788542,0,38.1,1,0,0,2,0,0,1,0,0,0,0,0,0.39689359
122,,2,3,1,50,2,0,0.76954842,0.23045161,0.0516269,0.0590513,53456,15.856396,0,29.4,0,0,1,1,0,0,0,0,0,0,0,0,0.37819076
123,0,3,2,1,45,2,1,0,0,0.08816706,0.03376623,80456,1090.4355,0,40.7,0,0,0,5,0,1,0,0,0,0,1,0,0.50315607
124,0,2,6,1,31,2,0.63669628,0,0.36330372,0.25249642,0.02311111,64077,30.256556,0,46.6,0,1,1,9,0,1,0,0,0,0,0,0,0.47215805
125,1,3,2,1,74,1,1,0,0,0.22182469,0.01818182,87121,1386.9518,0,41.9,0,0,0,2,0,0,0,0,0,0,0,0,0.46849397
126,,2,4,1,78,1,1,0,0,0.04359313,0.0556553,38417,2167.1475,1,72.5,0,0,1,9,0,0,0,0,1,0,1,0,0.84705079
127,1,3,0,1,52,2,0,0,1,0.07714701,0.0610998,45893,0.33121732,0,56.1,0,0,0,4,0,0,1,0,0,1,0,0,0.39773092
128,,3,9,0,60,1,1,0,0,0.18248175,0.024961,49028,4612.3794,0,54.8,0,0,0,5,0,1,0,0,0,0,0,0,0.51153719
129,,3,4,0,92,1,1,0,0,0.09617548,0.06113537,48171,1231.3881,0,47.8,0,1,1,3,0,0,0,0,0,0,0,0,0.5089134
130,0,2,2,0,76,2,0.90063608,0,0.09936389,0.06637168,0.05046055,47355,236.04401,0,49.4,0,0,0,3,0,0,0,0,0,0,0,0,0.49688089
131,0,2,5,0,77,2,1,0,0,0.39111111,0.04615385,91197,235.79681,0,40.5,0,0,1,8,0,0,0,0,0,0,0,0,0.37355888
132,1,1,1,0,63,1,1,0,0,0.14322747,0.05658784,69038,2781.0137,0,54.8,0,0,1,3,0,0,0,0,0,0,0,0,0.45309439
133,,1,7,0,69,1,1,0,0,0.05918728,0.04936854,31394,4966.124,0,68.2,1,1,0,4,0,0,0,0,0,0,0,0,0.56689566
134,,3,4,1,34,2,1,0,0,0.22153209,0,76172,2297.4707,0,59.4,0,0,0,3,0,1,0,0,0,0,0,1,0.51262122
135,1,3,2,1,55,1,0.51328725,0,0.48671278,0.27171108,0.02478699,80763,4.4076586,1,51.8,0,0,0,7,0,1,0,0,0,0,0,0,0.39085507
136,1,2,0,1,52,2,1,0,0,0.01943199,0.1411043,32250,1571.5666,0,60,0,0,1,1,0,0,0,0,0,0,0,0,0.64268017
137,,3,3,1,65,2,0.91910052,0,0.08089945,0.25410697,0.05022831,63578,27.444939,0,52.4,0,0,0,5,0,0,1,0,0,0,0,1,0.52219135
138,,2,5,1,60,2,0,0.73636681,0.26363319,0.14207049,0.0810622,51010,105.89552,0,35.2,1,0,1,10,0,1,0,0,0,0,0,0,0.37784725
139,1,1,1,1,49,5,1,0,0,0.09797297,0,63333,1331.2023,0,58.5,0,1,1,2,0,0,0,0,0,0,0,0,0.55246723
140,1,3,3,0,54,1,0.68516284,0,0.31483716,0.19401947,0.03808244,70129,183.87068,0,52.1,0,1,1,3,0,0,1,0,0,1,0,0,0.38649908
141,1,3,2,1,59,5,0.51328725,0,0.48671278,0.27171108,0.02478699,80763,4.4076586,0,39.2,0,1,1,1,0,1,0,0,0,0,0,0,0.38976204
142,0,2,2,1,35,2,0.87824243,0,0.12175754,0.124533,0.02298288,65083,254.5546,0,41.4,0,0,0,9,0,1,0,0,0,0,0,0,0.52461505
143,0,3,2,0,28,1,0.84848487,0,0.15151516,0.1527712,0.04597396,55191,240.34489,0,52.4,0,0,0,4,0,0,0,0,0,0,0,0,0.47227526
144,1,3,1,0,60,2,1,0,0,0.02604651,0.16047904,23185,5472.9331,0,73.9,0,1,1,6,0,0,0,0,0,0,0,0,0.59378654
145,0,2,2,1,55,2,0.16709845,0,0.83290154,0.07322326,0.04985479,50625,2.4796009,0,50,0,0,1,4,0,0,0,0,0,0,0,0,0.41715199
146,0,3,9,0,69,2,1,0,0,0.15684713,0.04162331,51810,3653.4395,0,50.5,1,0,1,10,0,0,1,0,0,0,0,0,0.50183481
147,1,3,9,0,40,2,1,0,0,0.11630559,0.03004292,57813,401.13202,0,51.3,0,0,0,7,0,0,0,0,0,0,0,0,0.49448493
148,0,3,3,0,85,2,0.68516284,0,0.31483716,0.19401947,0.03808244,70129,183.87068,0,45.1,0,0,0,8,0,0,0,0,0,0,0,0,0.37809321
